#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 03 12 16 50 270  9.0 13.0   3.2    11   7.0 273     MM   8.1    MM    MM   MM   MM    MM
2024 03 12 16 40 270 12.0 15.0    MM    MM    MM  MM 1015.2   8.2  11.0    MM   MM   MM    MM
2024 03 12 16 30 280 13.0 16.0    MM    MM    MM  MM 1015.0   8.1  11.0    MM   MM   MM    MM
2024 03 12 16 20 260 11.0 16.0   3.3    11   7.5 270 1014.4   9.2  11.0    MM   MM   MM    MM
2024 03 12 16 10 260  8.0 11.0   3.3    MM   7.5 270 1014.1   9.4  11.0    MM   MM   MM    MM
2024 03 12 16 00 260  8.0 10.0    MM    MM    MM  MM 1013.9   9.2  11.0    MM   MM +3.3    MM
2024 03 12 15 50 270  9.0 11.0   3.3    10   7.4 259 1013.7   9.2  11.0    MM   MM   MM    MM
2024 03 12 15 40 280 10.0 13.0    MM    MM    MM  MM 1013.5   9.0  11.0    MM   MM   MM    MM
2024 03 12 15 30 280 10.0 13.0    MM    MM    MM  MM 1013.3   8.9  11.0    MM   MM   MM    MM
2024 03 12 15 20 270 10.0 14.0   3.5     9   7.4 228 1013.1   9.2  11.0    MM   MM   MM    MM
2024 03 12 15 10 260  9.0 11.0   3.5    MM   7.4 228 1012.8   9.4  11.0    MM   MM   MM    MM
2024 03 12 15 00 250  9.0 11.0    MM    MM    MM  MM 1012.7   9.3  11.0    MM   MM +3.3    MM
2024 03 12 14 50 250  9.0 12.0   3.6    10   7.3 241 1012.5   9.3  11.0    MM   MM   MM    MM
2024 03 12 14 40 270  9.0 13.0    MM    MM    MM  MM 1012.4   9.0  11.0    MM   MM   MM    MM
2024 03 12 14 30 270 12.0 15.0    MM    MM    MM  MM 1012.2   9.0  11.0    MM   MM   MM    MM
2024 03 12 14 20 260 11.0 15.0   3.5    10   7.5 234 1011.9   9.5  11.0    MM   MM   MM    MM
2024 03 12 14 10 270 11.0 14.0    MM    MM    MM  MM 1011.8   9.7  11.0    MM   MM   MM    MM
2024 03 12 14 00 260 11.0 14.0    MM    MM    MM  MM 1011.8   9.9  11.0    MM   MM +3.4    MM
2024 03 12 13 50 250 10.0 12.0   3.7     9   7.6 241 1011.5  10.0  11.0    MM   MM   MM    MM
2024 03 12 13 40 250 10.0 12.0    MM    MM    MM  MM 1011.3  10.0  11.0    MM   MM   MM    MM
2024 03 12 13 30 250 10.0 12.0    MM    MM    MM  MM 1011.1  10.0  11.0    MM   MM   MM    MM
2024 03 12 13 20 260 10.0 12.0   3.7    10   7.4 268 1010.9  10.0  11.0    MM   MM   MM    MM
2024 03 12 13 10 260  9.0 12.0   3.7    MM   7.4 268 1010.8   9.9  11.0    MM   MM   MM    MM
2024 03 12 13 00 240  9.0 11.0    MM    MM    MM  MM 1010.6   9.9  11.0    MM   MM +2.8    MM
2024 03 12 12 50 250  9.0 12.0   3.5    10   7.2 228 1010.4  10.0  11.0    MM   MM   MM    MM
2024 03 12 12 40 250 10.0 12.0    MM    MM    MM  MM 1010.1  10.0  11.0    MM   MM   MM    MM
2024 03 12 12 30 250  9.0 12.0    MM    MM    MM  MM 1009.9  10.1  11.0    MM   MM   MM    MM
2024 03 12 12 20 250  9.0 12.0   3.8    10   7.3 211 1009.8  10.0  11.0    MM   MM   MM    MM
2024 03 12 12 10 250 10.0 12.0   3.8    MM   7.3 211 1009.6  10.0  11.0    MM   MM   MM    MM
2024 03 12 12 00 250 10.0 13.0    MM    MM    MM  MM 1009.4  10.0  11.0    MM   MM +2.4    MM
2024 03 12 11 50 250 11.0 13.0   3.7    11   7.6 285 1009.2  10.0  11.0    MM   MM   MM    MM
2024 03 12 11 40 250 10.0 13.0    MM    MM    MM  MM 1009.0  10.0  11.0    MM   MM   MM    MM
2024 03 12 11 30 240  9.0 12.0    MM    MM    MM  MM 1008.8   9.7  11.0    MM   MM   MM    MM
2024 03 12 11 20 240 10.0 14.0   4.0    10   7.6 224 1008.6   9.6  11.0    MM   MM   MM    MM
